"text","year","month","day","hour","created","source","favoriteCount","retweetCount","picture","exclamation","hashtag"
"Totally biased @NBCNews went out of its way to say that the big announcement from Ford, G.M., Lockheed &amp; others that jobs are coming back...",2017,1,18,7,2017-01-18 12:34:09,"Android",48926,10381,"No picture/link","No","No"
"Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!",2017,1,18,6,2017-01-18 11:53:24,"Android",38019,5729,"No picture/link","Yes","No"
"""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."" Sound familiar! WP",2017,1,17,9,2017-01-17 14:52:39,"Android",65350,14262,"No picture/link","Yes","No"
"John Lewis said about my inauguration, ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...",2017,1,17,9,2017-01-17 14:46:27,"Android",68144,16545,"No picture/link","Yes","No"
"country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff.""",2017,1,17,9,2017-01-17 14:36:26,"Android",57183,10622,"No picture/link","No","No"
"With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our.....",2017,1,17,9,2017-01-17 14:30:19,"Android",60107,11233,"No picture/link","No","No"
"The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.",2017,1,17,8,2017-01-17 13:11:56,"Android",108732,25013,"No picture/link","No","No"
"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",2017,1,17,8,2017-01-17 13:05:10,"Android",122835,25492,"No picture/link","Yes","No"
"""@drgoodspine: @realDonaldTrump @Ivanka Trump is great, a woman with real character and class.""",2017,1,16,21,2017-01-17 02:08:21,"Android",47744,8329,"No picture/link","No","No"
"At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!",2017,1,16,20,2017-01-17 01:49:38,"Android",59237,11803,"No picture/link","Yes","No"
"""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."" Very dishonest media!",2017,1,16,20,2017-01-17 01:42:18,"Android",62267,12738,"No picture/link","Yes","No"
"Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!",2017,1,16,8,2017-01-16 13:54:52,"Android",164089,38837,"No picture/link","Yes","No"
"much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",2017,1,15,19,2017-01-16 00:29:05,"Android",60174,14305,"No picture/link","Yes","No"
".@FoxNews ""Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really, couldn't do...",2017,1,15,19,2017-01-16 00:16:20,"Android",46272,11681,"No picture/link","No","No"
".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!",2017,1,15,17,2017-01-15 22:46:33,"Android",86470,19299,"No picture/link","Yes","No"
"about that...Those Intelligence chiefs made a mistake here, &amp; when people make mistakes, they should APOLOGIZE."" Media should also apologize",2017,1,15,15,2017-01-15 20:13:00,"Android",71772,15617,"No picture/link","No","No"
"Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...",2017,1,15,15,2017-01-15 20:04:38,"Android",71022,16429,"No picture/link","No","No"
"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",2017,1,15,14,2017-01-15 19:00:21,"Android",130506,30204,"No picture/link","Yes","No"
"will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!",2017,1,15,9,2017-01-15 14:02:41,"Android",79850,15536,"No picture/link","Yes","No"
"The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..",2017,1,15,8,2017-01-15 13:59:29,"Android",80707,16499,"No picture/link","No","No"
"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",2017,1,14,20,2017-01-15 01:58:57,"Android",123712,25782,"No picture/link","Yes","No"
"Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!",2017,1,14,19,2017-01-15 00:22:01,"Android",97355,22567,"No picture/link","Yes","No"
"INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN",2017,1,14,8,2017-01-14 13:14:13,"Android",70012,19483,"No picture/link","Yes","No"
"mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",2017,1,14,8,2017-01-14 13:07:12,"Android",78569,16968,"No picture/link","Yes","No"
"Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......",2017,1,14,7,2017-01-14 12:50:26,"Android",89870,21524,"No picture/link","No","No"
"The ""Unaffordable"" Care Act will soon be history!",2017,1,13,6,2017-01-13 11:33:24,"Android",132335,30771,"No picture/link","Yes","No"
"have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!",2017,1,13,6,2017-01-13 11:25:54,"Android",68708,13733,"No picture/link","Yes","No"
"What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....",2017,1,13,6,2017-01-13 11:22:38,"Android",59292,13030,"No picture/link","No","No"
"released by ""Intelligence"" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!",2017,1,13,6,2017-01-13 11:16:54,"Android",54886,12225,"No picture/link","Yes","No"
"Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...",2017,1,13,6,2017-01-13 11:11:13,"Android",55727,12715,"No picture/link","Yes","No"
"It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....",2017,1,13,6,2017-01-13 11:05:55,"Android",74061,17644,"No picture/link","No","No"
"All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!",2017,1,13,5,2017-01-13 10:49:34,"Android",82489,16990,"No picture/link","Yes","No"
"Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!",2017,1,12,12,2017-01-12 17:41:11,"iPhone",87704,19774,"No picture/link","Yes","Yes"
".@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!",2017,1,12,9,2017-01-12 14:22:21,"Android",130455,36202,"No picture/link","Yes","No"
"Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine",2017,1,12,8,2017-01-12 13:50:13,"Android",94396,21916,"No picture/link","No","No"
"James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!",2017,1,12,7,2017-01-12 12:23:45,"Android",73173,17556,"No picture/link","Yes","No"
"""@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!!"" THANKS!",2017,1,11,23,2017-01-12 04:24:52,"Android",53317,9576,"No picture/link","Yes","No"
"We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on",2017,1,11,23,2017-01-12 04:01:38,"Android",120294,28863,"No picture/link","No","No"
"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",2017,1,11,7,2017-01-11 12:48:52,"Android",110330,32172,"No picture/link","No","No"
"I win an election easily, a great ""movement"" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",2017,1,11,7,2017-01-11 12:44:05,"Android",117595,29361,"No picture/link","Yes","No"
"Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!",2017,1,11,7,2017-01-11 12:31:31,"Android",87215,23749,"No picture/link","Yes","No"
"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."" Very unfair!",2017,1,11,7,2017-01-11 12:13:40,"Android",67615,17905,"No picture/link","Yes","No"
"'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews 
https://t.co/d6daCFZHNh",2017,1,10,21,2017-01-11 02:00:11,"iPhone",46380,15405,"Picture/link","No","Yes"
"FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!",2017,1,10,20,2017-01-11 01:19:23,"Android",96415,30156,"No picture/link","Yes","No"
"'Trump Helps Lift Small Business Confidence to 12-Yr. High'
https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx",2017,1,10,17,2017-01-10 22:30:53,"iPhone",44213,10686,"Picture/link","No","No"
"'Small business optimism soars after Trump election' https://t.co/WjBaTp824U",2017,1,10,15,2017-01-10 20:50:31,"iPhone",50611,12059,"Picture/link","No","No"
"'U.S. Small-Business Optimism Index Surges by Most Since 1980'
https://t.co/X22x1BttdG",2017,1,10,10,2017-01-10 15:26:22,"iPhone",42797,11404,"Picture/link","No","No"
"Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! 
#LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv",2017,1,9,21,2017-01-10 02:20:01,"iPhone",94618,23530,"Picture/link","Yes","Yes"
"An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf",2017,1,9,17,2017-01-09 22:32:33,"iPhone",125750,25490,"Picture/link","No","No"
"Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!",2017,1,9,9,2017-01-09 14:16:34,"Android",111724,23981,"No picture/link","Yes","No"
"It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants, adding 2000 jobs. This after...",2017,1,9,9,2017-01-09 14:14:10,"Android",102825,23877,"No picture/link","No","No"
"""groveling"" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!",2017,1,9,6,2017-01-09 11:43:26,"Android",70673,16504,"No picture/link","Yes","No"
"Hillary flunky who lost big. For the 100th time, I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......",2017,1,9,6,2017-01-09 11:36:02,"Android",86005,21924,"No picture/link","No","No"
"Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a.....",2017,1,9,6,2017-01-09 11:27:50,"Android",125854,38551,"No picture/link","No","No"
"Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!",2017,1,9,6,2017-01-09 11:17:40,"Android",38470,7439,"No picture/link","Yes","No"
"""@KellyannePolls: Welcome to President and Mrs. Bush.  
https://t.co/I1K4nj1gVu"" Very nice!",2017,1,8,11,2017-01-08 16:36:46,"Android",29218,5507,"Picture/link","Yes","No"
"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain, a longtime U.S. ally, is very special!",2017,1,7,21,2017-01-08 02:07:09,"Android",87015,17700,"No picture/link","Yes","No"
"Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter &amp; star",2017,1,7,18,2017-01-07 23:54:05,"Android",66531,12387,"No picture/link","No","No"
"both countries will, perhaps, work together to solve some of the many great and pressing problems and issues of the WORLD!",2017,1,7,10,2017-01-07 15:21:42,"Android",71606,16712,"No picture/link","Yes","No"
"have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and....",2017,1,7,10,2017-01-07 15:10:46,"Android",80035,19091,"No picture/link","No","No"
"Having a good relationship with Russia is a good thing, not a bad thing. Only ""stupid"" people, or fools, would think that it is bad! We.....",2017,1,7,10,2017-01-07 15:02:20,"Android",103173,30115,"No picture/link","Yes","No"
"Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!",2017,1,7,7,2017-01-07 12:03:31,"Android",85798,20206,"No picture/link","Yes","No"
"Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!",2017,1,7,6,2017-01-07 11:56:29,"Android",70529,18677,"No picture/link","Yes","No"
"Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!",2017,1,6,22,2017-01-07 03:53:38,"Android",69194,16764,"No picture/link","Yes","No"
"Happy Birthday @EricTrump!
https://t.co/bJaEY7qFSn",2017,1,6,19,2017-01-07 00:07:09,"iPhone",49207,7869,"Picture/link","Yes","No"
"I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.",2017,1,6,11,2017-01-06 16:51:37,"iPhone",94606,26427,"No picture/link","No","No"
"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse, a friend. Will go this AM.",2017,1,6,9,2017-01-06 14:18:51,"iPhone",35637,6595,"No picture/link","No","No"
"being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares, he supported Kasich &amp; Hillary",2017,1,6,7,2017-01-06 12:42:53,"Android",41934,9022,"No picture/link","No","No"
"Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for....",2017,1,6,7,2017-01-06 12:34:37,"Android",39824,9542,"No picture/link","No","No"
"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",2017,1,6,7,2017-01-06 12:05:01,"Android",67485,14703,"No picture/link","Yes","No"
"and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE",2017,1,6,6,2017-01-06 11:45:47,"Android",42439,8436,"No picture/link","No","No"
"Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......",2017,1,6,6,2017-01-06 11:39:35,"Android",52427,10783,"No picture/link","No","No"
"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",2017,1,6,6,2017-01-06 11:19:49,"Android",67262,19548,"No picture/link","Yes","No"
"So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?",2017,1,5,19,2017-01-06 00:40:03,"Android",72486,21122,"No picture/link","No","No"
"The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......",2017,1,5,19,2017-01-06 00:30:15,"Android",58355,19107,"No picture/link","No","No"
"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",2017,1,5,19,2017-01-06 00:24:34,"Android",69519,21023,"No picture/link","Yes","No"
"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",2017,1,5,13,2017-01-05 18:14:30,"Android",110144,33038,"No picture/link","Yes","No"
"to make up their own minds as to the truth. The media lies to make it look like I am against ""Intelligence"" when in fact I am a big fan!",2017,1,5,8,2017-01-05 13:45:57,"Android",69260,15662,"No picture/link","Yes","No"
"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people....",2017,1,5,8,2017-01-05 13:25:30,"Android",63747,16658,"No picture/link","No","No"
"...time for Republicans &amp; Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; FAR BETTER!",2017,1,5,7,2017-01-05 12:06:42,"Android",79715,16895,"No picture/link","Yes","No"
"...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is....",2017,1,5,7,2017-01-05 12:01:33,"Android",52748,12517,"No picture/link","Yes","No"
"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..",2017,1,5,6,2017-01-05 11:57:57,"Android",54399,13365,"No picture/link","No","No"
"massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!",2017,1,4,9,2017-01-04 14:26:45,"Android",55718,13856,"No picture/link","Yes","No"
"like the 116% hike in Arizona. Also, deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...",2017,1,4,9,2017-01-04 14:01:53,"Android",47432,11439,"No picture/link","No","No"
"Republicans must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases......",2017,1,4,8,2017-01-04 13:55:53,"Android",47168,11370,"No picture/link","No","No"
"things they did and said (like giving the questions to the debate to H). A total double standard! Media, as usual, gave them a pass.",2017,1,4,8,2017-01-04 13:31:32,"Android",47580,10982,"No picture/link","Yes","No"
"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible......",2017,1,4,8,2017-01-04 13:27:03,"Android",43547,10490,"No picture/link","No","No"
"Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow",2017,1,4,8,2017-01-04 13:19:09,"Android",88327,20026,"No picture/link","No","No"
"""@FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9"" More dishonest than anyone knows",2017,1,4,8,2017-01-04 13:10:05,"Android",43009,15121,"Picture/link","No","Yes"
"Julian Assange said ""a 14 year old could have hacked Podesta"" - why was DNC so careless? Also said Russians did not give him the info!",2017,1,4,7,2017-01-04 12:22:38,"Android",62376,18517,"No picture/link","Yes","No"
"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday, perhaps more time needed to build a case. Very strange!",2017,1,3,20,2017-01-04 01:14:52,"Android",81920,23997,"No picture/link","Yes","No"
"I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.",2017,1,3,18,2017-01-03 23:58:31,"Android",59480,14959,"No picture/link","No","No"
"""Trump is already delivering the jobs he promised America"" https://t.co/11spTMa6Tm",2017,1,3,13,2017-01-03 18:44:47,"iPhone",54223,14369,"Picture/link","No","No"
"There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield.",2017,1,3,12,2017-01-03 17:20:43,"Android",84463,21074,"No picture/link","No","No"
"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for INNOVATION &amp; JOB CREATION.
https://t.co/siXrptsOrt",2017,1,3,12,2017-01-03 17:00:11,"iPhone",55696,12967,"Picture/link","No","No"
"""@DanScavino: Ford to scrap Mexico plant, invest in Michigan due to Trump policies""
https://t.co/137nUo03Gl",2017,1,3,11,2017-01-03 16:44:13,"iPhone",53945,15971,"Picture/link","No","No"
"........may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",2017,1,3,10,2017-01-03 15:07:41,"Android",43625,9745,"No picture/link","Yes","Yes"
"With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it",2017,1,3,10,2017-01-03 15:03:29,"Android",43892,11080,"No picture/link","No","No"
"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And, it is lousy healthcare.",2017,1,3,7,2017-01-03 12:51:15,"Android",54405,12870,"No picture/link","Yes","No"
"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",2017,1,3,7,2017-01-03 12:46:33,"Android",59960,14774,"No picture/link","No","No"
"General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!",2017,1,3,7,2017-01-03 12:30:05,"Android",74593,19308,"No picture/link","Yes","No"
"China has been taking out massive amounts of money &amp; wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",2017,1,2,18,2017-01-02 23:47:12,"Android",65866,17924,"No picture/link","Yes","No"
"North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!",2017,1,2,18,2017-01-02 23:05:44,"Android",93571,26726,"No picture/link","Yes","No"
"I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",2017,1,2,13,2017-01-02 18:44:04,"Android",64068,13764,"No picture/link","No","No"
"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and.....",2017,1,2,13,2017-01-02 18:37:10,"Android",48270,9255,"No picture/link","No","No"
"@CNN just released a book called ""Unprecedented"" which explores the 2016 race &amp; victory. Hope it does well but used worst cover photo of me!",2017,1,2,13,2017-01-02 18:32:29,"Android",14136,4030,"Picture/link","Yes","No"
"Chicago murder rate is record setting - 4,331 shooting victims with 762 murders in 2016. If Mayor can't do it he must ask for Federal help!",2017,1,2,12,2017-01-02 17:31:17,"Android",64638,17800,"No picture/link","Yes","No"
"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",2017,1,2,9,2017-01-02 14:40:10,"Android",126933,29933,"No picture/link","Yes","No"
"TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy",2017,1,1,0,2017-01-01 05:00:10,"iPhone",128219,33346,"Picture/link","Yes","Yes"
"Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz",2016,12,31,13,2016-12-31 18:58:12,"iPhone",55770,9553,"Picture/link","Yes","No"
"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!",2016,12,31,8,2016-12-31 13:17:21,"Android",352038,142836,"No picture/link","Yes","No"
"Russians are playing @CNN and @NBCNews for such fools - funny to watch, they don't have a clue! @FoxNews totally gets it!",2016,12,30,17,2016-12-30 22:18:18,"Android",84618,23322,"No picture/link","Yes","No"
"Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.… https://t.co/9WJZ8iTCQV",2016,12,30,14,2016-12-30 19:46:55,"iPhone",25365,7380,"Picture/link","No","No"
"Great move on delay (by V. Putin) - I always knew he was very smart!",2016,12,30,14,2016-12-30 19:41:33,"Android",96736,32731,"No picture/link","Yes","No"
"My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy",2016,12,29,9,2016-12-29 14:54:21,"iPhone",45773,11368,"Picture/link","No","No"
"'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ",2016,12,28,17,2016-12-28 22:06:28,"iPhone",52033,13971,"Picture/link","No","No"
"not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!",2016,12,28,9,2016-12-28 14:25:11,"Android",118163,34718,"No picture/link","Yes","No"
"We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but.......",2016,12,28,9,2016-12-28 14:19:46,"Android",107009,30381,"Picture/link","No","No"
"Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!",2016,12,28,9,2016-12-28 14:07:13,"Android",118371,31947,"No picture/link","Yes","No"
"The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!",2016,12,27,22,2016-12-28 03:10:07,"Android",78792,19254,"No picture/link","Yes","No"
"President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!",2016,12,27,16,2016-12-27 21:52:29,"Android",100253,23329,"No picture/link","Yes","No"
"The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!",2016,12,26,22,2016-12-27 03:06:59,"Android",67683,15300,"No picture/link","Yes","No"
"I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!",2016,12,26,21,2016-12-27 02:53:20,"Android",71866,17494,"No picture/link","Yes","No"
"The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!",2016,12,26,18,2016-12-26 23:32:28,"iPhone",128834,30266,"No picture/link","Yes","No"
"The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!",2016,12,26,16,2016-12-26 21:41:58,"Android",78011,22211,"No picture/link","Yes","No"
"President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc.",2016,12,26,16,2016-12-26 21:36:28,"Android",91640,22355,"No picture/link","Yes","No"
"Merry Christmas and a very, very, very , very Happy New Year to everyone!",2016,12,25,12,2016-12-25 17:48:48,"Android",213276,50551,"No picture/link","Yes","No"
"#MerryChristmas https://t.co/5GgDmJrGMS",2016,12,25,7,2016-12-25 12:46:41,"iPhone",152185,42839,"Picture/link","No","Yes"
"Happy #Hanukkah https://t.co/UvZwtykV1E",2016,12,24,16,2016-12-24 21:44:32,"iPhone",84834,22199,"Picture/link","No","Yes"
"The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad, but we will get it done anyway!",2016,12,24,16,2016-12-24 21:33:27,"Android",83801,19906,"No picture/link","Yes","No"
".@NBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes.""  Dishonest!",2016,12,24,15,2016-12-24 20:59:30,"Android",63103,16744,"No picture/link","Yes","No"
"Vladimir Putin said today about Hillary and Dems: ""In my opinion, it is humiliating. One must be able to lose with dignity.""  So true!",2016,12,23,19,2016-12-24 00:13:02,"Android",113462,31944,"No picture/link","Yes","No"
"slaughter you. This is a purely religious threat, which turned into reality. Such hatred! When will the U.S., and all countries, fight back?",2016,12,23,16,2016-12-23 21:23:00,"Android",66217,18104,"No picture/link","Yes","No"
"The terrorist who killed so many people in Germany said just before crime, ""by God's will we will slaughter you pigs, I swear, we will......",2016,12,23,16,2016-12-23 21:17:42,"Android",52394,18923,"No picture/link","No","No"
"As to the U.N., things will be different after Jan. 20th.",2016,12,23,15,2016-12-23 20:14:34,"iPhone",99728,34103,"No picture/link","No","No"
"my presidency. Isn't this a ridiculous shame? He loves these kids, has raised millions of dollars for them, and now must stop. Wrong answer!",2016,12,23,6,2016-12-23 11:58:36,"Android",64794,14647,"No picture/link","Yes","No"
"My wonderful son, Eric, will no longer be allowed to raise money for children with cancer because of a possible conflict of interest with...",2016,12,23,6,2016-12-23 11:53:05,"Android",54421,15592,"No picture/link","No","No"
"The so-called ""A"" list celebrities are all wanting tixs to the inauguration, but look what they did for Hillary, NOTHING. I want the PEOPLE!",2016,12,22,20,2016-12-23 01:59:58,"Android",120752,31586,"No picture/link","Yes","No"
"Based on the tremendous cost and cost overruns of the Lockheed Martin F-35, I have asked Boeing to price-out a comparable F-18 Super Hornet!",2016,12,22,17,2016-12-22 22:26:05,"Android",62950,15039,"No picture/link","Yes","No"
"The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes",2016,12,22,11,2016-12-22 16:50:30,"Android",73216,21375,"No picture/link","No","No"
"Someone incorrectly stated that the phrase ""DRAIN THE SWAMP"" was no longer being used by me. Actually, we will always be trying to DTS.",2016,12,22,11,2016-12-22 16:41:52,"Android",74373,19550,"No picture/link","No","No"
"The resolution being considered at the United Nations Security Council regarding Israel should be vetoed....cont: https://t.co/s8rXKKZNF1",2016,12,22,8,2016-12-22 13:37:04,"iPhone",35873,10411,"Picture/link","No","No"
"If my many supporters acted and threatened people like those who lost the election are doing, they would be scorned &amp; called terrible names!",2016,12,18,16,2016-12-18 21:54:40,"Android",136058,36632,"No picture/link","Yes","No"
"We should tell China that we don't want the drone they stole back.- let them keep it!",2016,12,17,19,2016-12-18 00:59:25,"Android",65895,18055,"No picture/link","Yes","No"
"Thank you Alabama! From now on, it’s going to be #AmericaFirst. Our goal is to bring back that wonderful phrase:… https://t.co/4UAazd7TmF",2016,12,17,19,2016-12-18 00:12:05,"iPhone",54979,13006,"Picture/link","Yes","Yes"
"China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.",2016,12,17,8,2016-12-17 13:57:20,"iPhone",61132,19495,"No picture/link","No","No"
"Mobile, Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected, see you there!",2016,12,17,8,2016-12-17 13:20:23,"Android",40290,8239,"No picture/link","Yes","No"
