"text","year","month","day","hour","created","source","favoriteCount","retweetCount","picture","exclamation","hashtag"
"When a country is no longer able to say who can, and who cannot , come in &amp; out, especially for reasons of safety &amp;.security - big trouble!",2017,2,4,7,2017-02-04 12:59:35,"Android",175811,38143,"No picture/link","Yes","No"
"Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!",2017,2,3,22,2017-02-04 03:07:47,"Android",155013,27176,"No picture/link","Yes","No"
"We must keep ""evil"" out of our country!",2017,2,3,18,2017-02-03 23:08:38,"Android",205799,45000,"No picture/link","Yes","No"
"A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.",2017,2,3,7,2017-02-03 12:51:58,"Android",165875,42394,"No picture/link","No","No"
"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",2017,2,3,6,2017-02-03 11:48:16,"Android",174612,43340,"No picture/link","Yes","No"
"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!",2017,2,3,6,2017-02-03 11:41:11,"Android",126517,19545,"No picture/link","Yes","No"
"Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!",2017,2,3,6,2017-02-03 11:34:32,"Android",150108,33159,"No picture/link","Yes","No"
"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",2017,2,3,6,2017-02-03 11:28:02,"Android",174399,64835,"No picture/link","Yes","No"
"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!",2017,2,3,6,2017-02-03 11:24:51,"Android",117204,23547,"No picture/link","Yes","No"
"Thank you, @Samsung! We would love to have you! https://t.co/r5nxC9oOA4",2017,2,2,12,2017-02-02 17:29:16,"iPhone",126599,26543,"Picture/link","Yes","No"
"Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion",2017,2,2,6,2017-02-02 11:39:49,"Android",98320,24545,"No picture/link","No","No"
"Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!",2017,2,2,6,2017-02-02 11:34:36,"Android",122466,39996,"No picture/link","Yes","No"
"Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!",2017,2,2,6,2017-02-02 11:25:40,"Android",124814,16933,"No picture/link","Yes","No"
"Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!",2017,2,2,6,2017-02-02 11:18:21,"Android",116318,16160,"No picture/link","Yes","No"
"If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?",2017,2,2,6,2017-02-02 11:13:13,"Android",214925,59610,"No picture/link","No","No"
"Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!",2017,2,1,22,2017-02-02 03:55:49,"Android",154204,38046,"No picture/link","Yes","No"
"Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!",2017,2,1,22,2017-02-02 03:06:14,"Android",94571,21338,"No picture/link","Yes","No"
"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",2017,2,1,7,2017-02-01 12:50:16,"Android",255709,61537,"No picture/link","Yes","No"
"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.",2017,1,31,22,2017-02-01 03:45:26,"Android",254624,34888,"No picture/link","No","No"
"Join me live from the @WhiteHouse.
https://t.co/LHOs4nAaGl",2017,1,31,20,2017-02-01 01:01:03,"iPhone",53342,6645,"Picture/link","No","No"
"Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.",2017,1,31,19,2017-02-01 00:31:08,"Android",104361,16732,"No picture/link","Yes","No"
"When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!",2017,1,31,6,2017-01-31 11:27:02,"Android",181999,39574,"No picture/link","Yes","No"
"Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!",2017,1,31,6,2017-01-31 11:21:52,"Android",155069,31741,"No picture/link","Yes","No"
"The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.",2017,1,30,19,2017-01-31 00:45:50,"Android",129246,28368,"No picture/link","No","No"
